CensusTract,State,County,Urban,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,ZIP
48029110100,Texas,Bexar County,1,0,1,0,1,78297
48029110100,Texas,Bexar County,1,0,1,0,1,78298
48029110100,Texas,Bexar County,1,0,1,0,1,78299
48029110300,Texas,Bexar County,1,0,1,0,0,78203
48029110300,Texas,Bexar County,1,0,1,0,0,78205
48029110300,Texas,Bexar County,1,0,1,0,0,78206
48029110300,Texas,Bexar County,1,0,1,0,0,78210
48029110500,Texas,Bexar County,1,0,1,0,1,78207
48029110600,Texas,Bexar County,1,0,1,0,1,78207
48029110700,Texas,Bexar County,1,0,0,0,0,78201
48029110700,Texas,Bexar County,1,0,0,0,0,78207
48029110700,Texas,Bexar County,1,0,0,0,0,78212
48029110700,Texas,Bexar County,1,0,0,0,0,78224
48029110800,Texas,Bexar County,1,0,1,0,1,78212
48029110900,Texas,Bexar County,1,0,0,0,0,78212
48029110900,Texas,Bexar County,1,0,0,0,0,78215
48029111000,Texas,Bexar County,1,1,1,1,1,78208
48029111000,Texas,Bexar County,1,1,1,1,1,78215
48029120100,Texas,Bexar County,1,0,0,0,0,78208
48029120100,Texas,Bexar County,1,0,0,0,0,78209
48029120100,Texas,Bexar County,1,0,0,0,0,78215
48029120100,Texas,Bexar County,1,0,0,0,0,78218
48029120100,Texas,Bexar County,1,0,0,0,0,78219
48029120100,Texas,Bexar County,1,0,0,0,0,78234
48029120100,Texas,Bexar County,1,0,0,0,0,78236
48029120300,Texas,Bexar County,1,0,0,0,0,78209
48029120400,Texas,Bexar County,1,0,0,0,0,78209
48029120501,Texas,Bexar County,1,1,1,1,1,78209
48029120501,Texas,Bexar County,1,1,1,1,1,78218
48029120501,Texas,Bexar County,1,1,1,1,1,78219
48029120502,Texas,Bexar County,1,0,1,0,1,78218
48029120502,Texas,Bexar County,1,0,1,0,1,78219
48029120600,Texas,Bexar County,1,0,0,0,0,78209
48029120701,Texas,Bexar County,1,0,1,0,1,78209
48029120701,Texas,Bexar County,1,0,1,0,1,78216
48029120702,Texas,Bexar County,1,0,0,0,0,78209
48029120702,Texas,Bexar County,1,0,0,0,0,78216
48029120800,Texas,Bexar County,1,0,0,0,0,78209
48029120901,Texas,Bexar County,1,1,1,1,1,78209
48029120901,Texas,Bexar County,1,1,1,1,1,78217
48029120902,Texas,Bexar County,1,0,0,0,0,78209
48029120902,Texas,Bexar County,1,0,0,0,0,78217
48029120902,Texas,Bexar County,1,0,0,0,0,78218
48029121000,Texas,Bexar County,1,1,1,1,1,78209
48029121000,Texas,Bexar County,1,1,1,1,1,78217
48029121108,Texas,Bexar County,1,0,0,0,0,78216
48029121108,Texas,Bexar County,1,0,0,0,0,78232
48029121108,Texas,Bexar County,1,0,0,0,0,78247
48029121110,Texas,Bexar County,1,0,0,0,0,78217
48029121110,Texas,Bexar County,1,0,0,0,0,78247
48029121111,Texas,Bexar County,1,0,0,0,0,78217
48029121111,Texas,Bexar County,1,0,0,0,0,78247
48029121112,Texas,Bexar County,1,0,0,0,0,78217
48029121112,Texas,Bexar County,1,0,0,0,0,78247
48029121115,Texas,Bexar County,1,0,0,0,0,78232
48029121115,Texas,Bexar County,1,0,0,0,0,78247
48029121115,Texas,Bexar County,1,0,0,0,0,78270
48029121116,Texas,Bexar County,1,0,0,0,0,78232
48029121117,Texas,Bexar County,1,0,0,0,0,78232
48029121118,Texas,Bexar County,1,0,0,0,0,78232
48029121118,Texas,Bexar County,1,0,0,0,0,78247
